Department,Equipment Class,Equipment Count
Sheriffs Office,Public Safety Pick Up Trucks,1
General Services,Public Safety Sedan,3
Correction and Rehabilitation,Pick Up Trucks,1
Fire and Rescue,Transit Bus,1
Environmental Protection,Medium Duty,2
Community Use of Public Facilities,Public Safety CUV,1
Alcohol Beverage Services,Van,3
Permitting Services,Van,1
Alcohol Beverage Services,Sedan,7
Recreation,Sedan,3
Consumer Protection,Sedan,1
Community Engagement Cluster,Sedan,3
General Services,SUV,14
Technology and Enterprise Business Solutions,Sedan,1
Environmental Protection,Van,3
Housing and Community Affairs,CUV,1
Transportation,Sedan,28
General Services,Sedan,33
Libraries,Medium Duty,1
Fire and Rescue,Public Safety Van,11
Housing and Community Affairs,SUV,1
Human Rights,Sedan,1
Community Engagement Cluster,Off Road VehicleEquipment,9
Housing and Community Affairs,Pick Up Trucks,24
County Executives Office,Public Safety CUV,1
Libraries,Heavy Duty,1
Environmental Protection,CUV,5
Correction and Rehabilitation,CUV,2
County Executives Office,Sedan,1
Office Of Animal Services,Van,1
Technology and Enterprise Business Solutions,Public Safety SUV,1
Permitting Services,Public Safety Sedan,2
County Executives Office,Public Safety SUV,2
Transportation,Van,32
Sheriffs Office,Sedan,1
Recreation,Off Road VehicleEquipment,7
Board of Elections,Van,1
Public Information Office,Van,1
Correction and Rehabilitation,Public Safety Sedan,1
Libraries,Pick Up Trucks,3
General Services,Public Safety Heavy Duty,1
Finance,Sedan,3
Permitting Services,Public Safety CUV,2
Community Engagement Cluster,Pick Up Trucks,6
Fire and Rescue,Public Safety Sedan,16
General Services,Public Safety SUV,5
Fire and Rescue,Heavy Duty,1
Circuit Court,SUV,1
Sheriffs Office,SUV,2
Sheriffs Office,Pick Up Trucks,3
Housing and Community Affairs,Public Safety CUV,1
Correction and Rehabilitation,SUV,4
Fire and Rescue,Sedan,1
General Services,Public Safety Van,1
Alcohol Beverage Services,Heavy Duty,38
Sheriffs Office,Public Safety Van,9
Fire and Rescue,Public Safety SUV,19
State Attorneys Office,Van,1
Environmental Protection,SUV,17
State Attorneys Office,Public Safety CUV,1
Community Engagement Cluster,CUV,1
Recreation,Van,17
Correction and Rehabilitation,Sedan,6
Fire and Rescue,Van,6
Sheriffs Office,Public Safety SUV,15
Permitting Services,Pick Up Trucks,24
General Services,Heavy Duty,7
Health and Human Services,Public Safety SUV,1
Alcohol Beverage Services,SUV,2
Correction and Rehabilitation,Van,8
Community Engagement Cluster,SUV,2
General Services,Public Safety CUV,1
Correction and Rehabilitation,Off Road VehicleEquipment,3
Recreation,Pick Up Trucks,5
State Attorneys Office,Sedan,1
Office Of Animal Services,Off Road VehicleEquipment,3
Correction and Rehabilitation,Public Safety SUV,1
Alcohol Beverage Services,CUV,1
Technology and Enterprise Business Solutions,Pick Up Trucks,1
Environmental Protection,Public Safety CUV,3
Office Of Animal Services,Public Safety SUV,5
Transportation,Heavy Duty,133
Health and Human Services,Van,17
Community Engagement Cluster,Medium Duty,1
Fire and Rescue,Pick Up Trucks,14
Fire and Rescue,Off Road VehicleEquipment,17
Technology and Enterprise Business Solutions,Public Safety Van,2
Technology and Enterprise Business Solutions,CUV,2
General Services,Public Safety Pick Up Trucks,1
General Services,Van,58
Board of Elections,Heavy Duty,1
Health and Human Services,CUV,13
Transportation,CUV,16
Fire and Rescue,Public Safety Pick Up Trucks,16
General Services,Medium Duty,4
Sheriffs Office,Public Safety CUV,48
Board of Elections,Off Road VehicleEquipment,3
Transportation,Public Safety SUV,1
Recreation,SUV,1
General Services,Pick Up Trucks,47
Permitting Services,SUV,14
Transportation,SUV,36
Office Of Animal Services,Public Safety Van,10
Transportation,Public Safety CUV,2
Fire and Rescue,CUV,4
Technology and Enterprise Business Solutions,Public Safety CUV,2
Permitting Services,Sedan,32
Transportation,Off Road VehicleEquipment,692
Recreation,CUV,3
Health and Human Services,Sedan,58
Libraries,Van,3
Technology and Enterprise Business Solutions,SUV,3
Technology and Enterprise Business Solutions,Van,6
General Services,Off Road VehicleEquipment,60
Office Of Homeland Security,Public Safety SUV,4
Permitting Services,CUV,16
Transportation,Transit Bus,388
General Services,CUV,27
Transportation,Medium Duty,33
Fire and Rescue,Public Safety CUV,15
Environmental Protection,Sedan,12
Transportation,Pick Up Trucks,84
Housing and Community Affairs,Sedan,19
Environmental Protection,Pick Up Trucks,36
Sheriffs Office,Public Safety Sedan,42
County Executives Office,CUV,2
